,TYPE,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
0,PE,42100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42100.00,13851,13676,7814.857142857143,92935,12.62,234.75,-386.0,-62.182843334675795,33825,36300,25,239.5,50,240.1,42132.55
0,CE,42200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42200.00,23432,13399,133.54928735173925,298879,10.13,239.55,165.15,221.9758064516129,54150,42575,1200,242.5,400,243.15,42132.55
0,PE,42200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42200.00,14568,14393,8224.57142857143,81334,12.64,271.0,-425.35,-61.082788827457456,40725,30750,500,286.85,50,287.9,42132.55
0,CE,42300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42300.00,18469,10161,122.303803562831,221684,10.18,195.0,137.35,238.24804856895057,54125,29975,275,196.2,300,196.55,42132.55
0,PE,42300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42300.00,3375,3296,4172.151898734177,16555,12.61,334.4,-466.45000000000005,-58.244365361803084,8325,12875,25,339.0,25,340.7,42132.55
0,CE,42400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42400.00,13715,8511,163.54727132974634,185874,10.23,157.0,113.7,262.5866050808314,39775,17750,250,157.0,25,159.0,42132.55
0,PE,42400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42400.00,1350,1237,1094.6902654867256,6854,12.48,393.75,-467.9,-54.30279115650206,6050,4850,50,389.65,550,402.0,42132.55
0,CE,42500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42500.00,52478,30169,135.2324174100139,437759,10.26,125.0,91.1,268.73156342182887,64400,54800,2725,123.35,325,124.0,42132.55
0,PE,42500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42500.00,5410,5017,1276.590330788804,22379,12.87,460.2,-506.45,-52.392282625562515,7700,16700,125,462.5,150,465.05,42132.55
0,CE,42600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42600.00,17801,7532,73.34696659850034,177608,10.28,97.45,72.45,289.8,47875,25950,1175,95.1,1000,95.5,42132.55
